trajectory_id,base_seed,family,class,sigma,stride,degree,metric,split,cache_path
A_jump_3005_sigma0,3005,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3005/sigma0/stride1
A_jump_3005_sigma50,3005,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3005/sigma50/stride1
A_jump_3006_sigma0,3006,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3006/sigma0/stride1
A_jump_3006_sigma50,3006,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3006/sigma50/stride1
A_jump_3007_sigma0,3007,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3007/sigma0/stride1
A_jump_3007_sigma50,3007,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3007/sigma50/stride1
A_jump_3008_sigma0,3008,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3008/sigma0/stride1
A_jump_3008_sigma50,3008,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3008/sigma50/stride1
A_jump_3009_sigma0,3009,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3009/sigma0/stride1
A_jump_3009_sigma50,3009,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3009/sigma50/stride1
A_jump_3010_sigma0,3010,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3010/sigma0/stride1
A_jump_3010_sigma50,3010,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3010/sigma50/stride1
A_jump_3011_sigma0,3011,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3011/sigma0/stride1
A_jump_3011_sigma50,3011,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3011/sigma50/stride1
A_jump_3012_sigma0,3012,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3012/sigma0/stride1
A_jump_3012_sigma50,3012,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3012/sigma50/stride1
A_jump_3013_sigma0,3013,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3013/sigma0/stride1
A_jump_3013_sigma50,3013,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3013/sigma50/stride1
A_jump_3014_sigma0,3014,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3014/sigma0/stride1
A_jump_3014_sigma50,3014,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3014/sigma50/stride1
A_jump_3015_sigma0,3015,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3015/sigma0/stride1
A_jump_3015_sigma50,3015,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3015/sigma50/stride1
A_jump_3016_sigma0,3016,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3016/sigma0/stride1
A_jump_3016_sigma50,3016,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3016/sigma50/stride1
A_jump_3017_sigma0,3017,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3017/sigma0/stride1
A_jump_3017_sigma50,3017,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3017/sigma50/stride1
A_jump_3018_sigma0,3018,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3018/sigma0/stride1
A_jump_3018_sigma50,3018,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3018/sigma50/stride1
A_jump_3019_sigma0,3019,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3019/sigma0/stride1
A_jump_3019_sigma50,3019,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3019/sigma50/stride1
A_ramp_3000_sigma0,3000,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3000/sigma0/stride1
A_ramp_3000_sigma50,3000,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3000/sigma50/stride1
A_ramp_3001_sigma0,3001,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3001/sigma0/stride1
A_ramp_3001_sigma50,3001,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3001/sigma50/stride1
A_ramp_3002_sigma0,3002,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3002/sigma0/stride1
A_ramp_3002_sigma50,3002,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3002/sigma50/stride1
A_ramp_3003_sigma0,3003,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3003/sigma0/stride1
A_ramp_3003_sigma50,3003,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3003/sigma50/stride1
A_ramp_3004_sigma0,3004,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3004/sigma0/stride1
A_ramp_3004_sigma50,3004,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3004/sigma50/stride1
A_ramp_3005_sigma0,3005,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3005/sigma0/stride1
A_ramp_3005_sigma50,3005,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3005/sigma50/stride1
A_ramp_3006_sigma0,3006,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3006/sigma0/stride1
A_ramp_3006_sigma50,3006,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3006/sigma50/stride1
A_ramp_3007_sigma0,3007,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3007/sigma0/stride1
A_ramp_3007_sigma50,3007,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3007/sigma50/stride1
A_ramp_3008_sigma0,3008,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3008/sigma0/stride1
A_ramp_3008_sigma50,3008,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3008/sigma50/stride1
A_ramp_3009_sigma0,3009,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3009/sigma0/stride1
A_ramp_3009_sigma50,3009,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3009/sigma50/stride1
A_ramp_3010_sigma0,3010,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3010/sigma0/stride1
A_ramp_3010_sigma50,3010,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3010/sigma50/stride1
A_ramp_3011_sigma0,3011,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3011/sigma0/stride1
A_ramp_3011_sigma50,3011,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3011/sigma50/stride1
A_ramp_3012_sigma0,3012,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3012/sigma0/stride1
A_ramp_3012_sigma50,3012,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3012/sigma50/stride1
A_ramp_3013_sigma0,3013,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3013/sigma0/stride1
A_ramp_3013_sigma50,3013,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3013/sigma50/stride1
A_ramp_3014_sigma0,3014,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3014/sigma0/stride1
A_ramp_3014_sigma50,3014,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3014/sigma50/stride1
A_ramp_3015_sigma0,3015,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3015/sigma0/stride1
A_ramp_3015_sigma50,3015,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3015/sigma50/stride1
A_ramp_3016_sigma0,3016,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3016/sigma0/stride1
A_ramp_3016_sigma50,3016,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3016/sigma50/stride1
A_ramp_3017_sigma0,3017,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3017/sigma0/stride1
A_ramp_3017_sigma50,3017,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3017/sigma50/stride1
A_ramp_3018_sigma0,3018,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3018/sigma0/stride1
A_ramp_3018_sigma50,3018,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3018/sigma50/stride1
A_ramp_3019_sigma0,3019,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3019/sigma0/stride1
A_ramp_3019_sigma50,3019,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/3019/sigma50/stride1
A_return_3000_sigma0,3000,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3000/sigma0/stride1
A_return_3000_sigma50,3000,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3000/sigma50/stride1
A_return_3001_sigma0,3001,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3001/sigma0/stride1
A_return_3001_sigma50,3001,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3001/sigma50/stride1
A_return_3002_sigma0,3002,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3002/sigma0/stride1
A_return_3002_sigma50,3002,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3002/sigma50/stride1
A_return_3003_sigma0,3003,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3003/sigma0/stride1
A_return_3003_sigma50,3003,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3003/sigma50/stride1
A_return_3004_sigma0,3004,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3004/sigma0/stride1
A_return_3004_sigma50,3004,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3004/sigma50/stride1
A_return_3005_sigma0,3005,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3005/sigma0/stride1
A_return_3005_sigma50,3005,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3005/sigma50/stride1
A_return_3006_sigma0,3006,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3006/sigma0/stride1
A_return_3006_sigma50,3006,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3006/sigma50/stride1
A_return_3007_sigma0,3007,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3007/sigma0/stride1
A_return_3007_sigma50,3007,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3007/sigma50/stride1
A_return_3008_sigma0,3008,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3008/sigma0/stride1
A_return_3008_sigma50,3008,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3008/sigma50/stride1
A_return_3009_sigma0,3009,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3009/sigma0/stride1
A_return_3009_sigma50,3009,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3009/sigma50/stride1
A_return_3010_sigma0,3010,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3010/sigma0/stride1
A_return_3010_sigma50,3010,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3010/sigma50/stride1
A_return_3011_sigma0,3011,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3011/sigma0/stride1
A_return_3011_sigma50,3011,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3011/sigma50/stride1
A_return_3012_sigma0,3012,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3012/sigma0/stride1
A_return_3012_sigma50,3012,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3012/sigma50/stride1
A_return_3013_sigma0,3013,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3013/sigma0/stride1
A_return_3013_sigma50,3013,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3013/sigma50/stride1
A_return_3014_sigma0,3014,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3014/sigma0/stride1
A_return_3014_sigma50,3014,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3014/sigma50/stride1
A_return_3015_sigma0,3015,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3015/sigma0/stride1
A_return_3015_sigma50,3015,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3015/sigma50/stride1
A_return_3016_sigma0,3016,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3016/sigma0/stride1
A_return_3016_sigma50,3016,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3016/sigma50/stride1
A_return_3017_sigma0,3017,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3017/sigma0/stride1
A_return_3017_sigma50,3017,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3017/sigma50/stride1
A_return_3018_sigma0,3018,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3018/sigma0/stride1
A_return_3018_sigma50,3018,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3018/sigma50/stride1
A_return_3019_sigma0,3019,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3019/sigma0/stride1
A_return_3019_sigma50,3019,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/3019/sigma50/stride1
B_jump_3000_sigma0,3000,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3000/sigma0/stride1
B_jump_3000_sigma50,3000,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3000/sigma50/stride1
B_jump_3001_sigma0,3001,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3001/sigma0/stride1
B_jump_3001_sigma50,3001,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3001/sigma50/stride1
B_jump_3002_sigma0,3002,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3002/sigma0/stride1
B_jump_3002_sigma50,3002,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3002/sigma50/stride1
B_jump_3003_sigma0,3003,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3003/sigma0/stride1
B_jump_3003_sigma50,3003,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3003/sigma50/stride1
B_jump_3004_sigma0,3004,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3004/sigma0/stride1
B_jump_3004_sigma50,3004,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3004/sigma50/stride1
B_jump_3005_sigma0,3005,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3005/sigma0/stride1
B_jump_3005_sigma50,3005,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3005/sigma50/stride1
B_jump_3006_sigma0,3006,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3006/sigma0/stride1
B_jump_3006_sigma50,3006,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3006/sigma50/stride1
B_jump_3007_sigma0,3007,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3007/sigma0/stride1
B_jump_3007_sigma50,3007,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3007/sigma50/stride1
B_jump_3008_sigma0,3008,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3008/sigma0/stride1
B_jump_3008_sigma50,3008,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3008/sigma50/stride1
B_jump_3009_sigma0,3009,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3009/sigma0/stride1
B_jump_3009_sigma50,3009,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3009/sigma50/stride1
B_jump_3010_sigma0,3010,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3010/sigma0/stride1
B_jump_3010_sigma50,3010,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3010/sigma50/stride1
B_jump_3011_sigma0,3011,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3011/sigma0/stride1
B_jump_3011_sigma50,3011,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3011/sigma50/stride1
B_jump_3012_sigma0,3012,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3012/sigma0/stride1
B_jump_3012_sigma50,3012,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3012/sigma50/stride1
B_jump_3013_sigma0,3013,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3013/sigma0/stride1
B_jump_3013_sigma50,3013,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/3013/sigma50/stride1
